AAPL
MSFT
AMZN
TSLA
GOOG
GOOGL
FB
NVDA
AVGO
PEP
COST
ADBE
CMCSA
CSCO
INTC
TMUS
AMD
QCOM
TXN
AMGN
HON
INTU
PYPL
AMAT
BKNG
ADP
SBUX
NFLX
MDLZ
ADI
CHTR
ISRG
MU
GILD
LRCX
CSX
VRTX
FISV
REGN
ATVI
MRNA
MAR
KLAC
PANW
AEP
KDP
MRVL
SNPS
FTNT
MNST
EXC
ASML
NXPI
PAYX
ABNB
ADSK
KHC
CDNS
ORLY
CTAS
MELI
XEL
EA
MCHP
CTSH
LULU
AZN
WBA
JD
CRWD
ILMN
DLTR
BIDU
IDXX
FAST
LCID
WDAY
PCAR
ODFL
DXCM
BIIB
DDOG
ROST
TEAM
VRSK
EBAY
ZM
CPRT
SGEN
PDD
SIRI
MTCH
ANSS
ZS
CEG
NTES
ALGN
VRSN
SWKS
SPLK
DOCU
